name,finding_id
Age (>= 45),rec7cx4dHzqOpeqsF
Age >= 65,rec2EfgKqAkg84CuK
Age > 60,recVTC0tbGNlumQGn
Male sex,recdsdnpJRQpFlb31
Age > 65,recBb060PsnTGz8tS
Age > 70,recwWZhOXtwmygvAC
Age < 60,recDfnRjcQf3T7JVX
Age <= 60,reckTrEUogpl12wWp
Age > 80,recB03DGWxD2qz0ZQ
Age > 35,reczB6EPcsZMvtTMv
Age > 50,recwgiSf5lKzmCyJY
Age >= 50,recWjwrsVPkM8vnQA
Age >= 70,recxt7zs5OnWEAJQ9
Female sex,rec5NkhPqzfCLTApY
Asian race,recT7iYMFbWS8X461
Reported no hypertension,recbyKCYyGYPYxDKv
Reported previous allergic response to penicillin,recy85jqnrw8O2ELT
Reported atherosclerotic disease,recuwldTVtXP95Te1
Reported myocardial infarction,recPqmJf8MuOdNpyi
Reported major depressive disorder,recwn4XydJIyznWc5
Reported dysthymic disorder,recqOZiqpNZFm3swm
Reported upper gastrointestinal bleed,rec3aGrClmmXWctMX
Cirrhosis,rec3REOilrNXdrfa9
Reported warfarin use,recWDrn521QrfTXL1
Reported iron use,rect3jGddGDx84tVX
Reported lower gastrointestinal bleed,recBxsnT9vgrNnuFf
Reported hypertension,recGf5YKs8bf9krYa
Reported malignancy or cirrhosis,recWvJTJoL6LDPRME
Reported cerebral mass,recxn2xa6fNrCKFfH
Family history heart disease,recyJQltHBGPcpmtb
Reported seizure,recztKIVJhqYy2Biy
Reported congenital hearing loss,reczGPhrIX21WHjVi
Marfan's syndrome,recCNhDtrMqXiiVWa
Reported heart failure,recCWvSGWwNJwwf1X
Reported transient ischemic attack,recGCriCX1MVQxSLN
Not reported no conjunctivitis,recGCx85bMobuFlza
Reported parental diagnosis,rec7dSkYKPYiS3dfd
Reported angina pectoris,rec9MuRAnbVnAjubF
Reported upper respiratory tract infection,reca9UUSQ2NhkSUJP
Reported recent upper respiratory infection,recbNqtUalGlhjSDh
Exposure to angiotensin-converting enzyme inhibitor,recbjKEgNsTAngu5F
Reported expsure to allergen,reccRQ7okmJZXyJd2
Reported immunocompromising condition,recgj8YUme5cGSwyd
Reported head trauma,reciklDgbJhSOy5qb
Reported nulliparity,reciy86wHmjWacgGP
Reported estrogen use,recjENJrPAqTJc70g
Reported no asthma,recl2ySVoHkzl2j7U
Human immunodeficiency virus infection,recmt1LyafovjO2MD
Reported corticosteroid use,recmyspjZYXecZHVv
Reported no presyncope with needle,recmDV7BpqVXVLWdU
Reported past abdominal surgery,recnMKxGLDhxYWLVb
Reported coronary artery disease,recoMUEYShRhK6QPQ
Not reported migraines,recoFSANiMVKJE8ML
Alcohol use disorder,recprdWKvczxyd7W5
Reported abnormal stress test,recpxqDCESNPVXwtA
Reported depression,recpyERiH7HzqsAVY
Reported diabetes,recrQcVszFMsv308z
Reported peripheral artery disease,recrYux9VYNX2H2rR
Reported ulcer,rectpAEBtI20SPb4f
Reported joint edema,recuBn7S5vST7HouQ
Reported history and physical exam,recH6hKckWIO1moFm
Reported history,recIkvb0sc4AFazdl
Reported dilatation and curettage,recKqk4jhui70mcGQ
Reported did not use birth control,recKGw38LB8HC5Il0
Reported hepatic carcinoma,recL3AvmRTHhlFqfw
Family history colon cancer,recMKAngeNPm0Ow8I
Reported S. bovis bacteremia,recN8ZDlKCQZ15qfB
Reported rhinitis,recN5TUCq9BSrVJdr
Reported constipation,recNkJbMqlyxaCq8O
Reported renal insufficiency,recOSFVu54i3xouAx
Chondrocalcinosis,recV6ieSRHgpvYdkE
Reported developmental delay,recWbdCete7lrykKv
Reported breast cancer,recWN7n7BiE0JFabu
Reported rheumatoid arthritis,recZ2wP52gaTgspHO
Not reported loss of consciousness with prolonged sitting or standing,rec0QRc1HJI5QesZi
Reported recent joint surgery,rec0xlEUh03xd57Uo
Reported viral hepatitis,rec6OJM0DgbwyNeM5
Reported postmenopausal,rec6R9i7edfvGwBlL
Reported peripheral arterial disease,recVBQfHz2wFVOAqG
