name_disease,pathway_id
Causes of Diastolic dysfunction - Grading,recGqPfICnJVB1J3i
Causes of Pericardial effusion - Investigation,recicBQeoKkqBj2Xh
Causes of Anisocoria - Investigation,rec5jB1qgSdXuNAXS
Causes of Reported dysuria - Investigation (men),rec23S3NqBt2aqvea
Causes of Prolonged clotting times - Investigation,reczz0Xc47BxQ9nix
Causes of Reported chronic cough - Investigation,recAP0OHwkL3dhAso
Causes of Polycythemia - Investigation,recDDwOhnG9FV2RrT
Causes of Reported nausea and vomiting - Investigation,recEEI3gQOQtqr9Cx
Causes of Reported nasal discharge - Investigation,recGRwyczCpLi9Kfz
Causes of Reported constipation - Investigation,recGZx0RdTSgjgsKP
Causes of Iron overload - Investigation,recigqe9IPjQGLud9
Causes of Reported anxiety - Investigation,reciz2O2pevNV19J5
Causes of Reported sore throat - Investigation,recqPFzQiMVwTXdnY
Causes of Increased serum amylase - Investigation,recuA7OH5MYifjAS2
Causes of Reported suicidal ideation - Evaluation,recIjTueiJKlXDoJr
Causes of Reported abdominal wall pain - Investigation,recKN3kw0T1QkFWye
Causes of Reported dysuria - Investigation (women),recKGcWMaqeg4q3ta
Cardiac arrest - Management,recRhWoNIlIocHVt0
Causes of Gynecomastia - Investigation,recZM6JyeyCCxMde5
Causes of Reported chest pain - Investigation,rec0YCDVlGmwAG7lo
Causes of Reported acute watery diarrhea - Investigation,reckx74EsIlkOOY9v
Causes of Microcytic anemia - Investigation,recbYSbnmZqmchVc9
Causes of Macrocytic anemia - Investigation,reczwTK3ZyZo0osmm
Causes of Reported secondary amenorrhea - Investigation,recLWmoxu0BYHPpsc
Causes of Microangiopathic hemolytic anemia - Investigation,recvSAwO0SC8AQHvB
Causes of Reported polyuria - Investigation,recPtfWJCDkmvyHDG
Causes of Abnormal serum pH - Investigation,reck9E2ub06dzZSJM
Causes of Reported generalized pruritus - Investigation,recQWAlmChdhm6yDY
Causes of Decreased serum glucose - Investigation,rec8V1CyfJe39STAq
Causes of Pulmonary edema - Investigation,recdGGitJPtCR8WxA
Causes of First trimester vaginal bleeding - Investigation,recAhR15bdyUlVDHE
Causes of Hypothyroidism - Investigation,recjfSRbK9RDWnI9L
Causes of Increased serum sodium - Investigation,recm8pg6AVTweKunI
Causes of Hyperthyroidism - Investigation,recwHcOoUpwaeLNRK
Causes of Reported eye pain - Investigation,recOZ6X3jOLcxo6Mu
Causes of Purpura - Investigation,recPDAWviMw44yhOD
Causes of High anion gap metabolic acidosis - Investigation,recTtOUNSUdt1yNcj
Causes of Hyponatremia - Investigation,rec57i6Bkc8nVSUaV
Causes of Hypocalcemia - Investigation,rec6XrAgCFdKELz0J
Causes of Increased serum calcium - Investigation,recBkYvSnBxO8Gx17
Community-acquired pneumonia - Management,recBBIFY6NGy7veC8
Constipation - Investigation,recbsQbjBnUjhaBEf
Lower extremity arterial trauma - Evaluation and management,rec6dGHjHY8cVxhcf
Overactive bladder - Diagnosis and management,recFDksEYgFh8XuYQ
Systemic lupus erythematosus - Investigation and management,recEVzO8unw077WUb
Surgical site infection - Management,recdECYRThZDXZ5D9
Group A streptococcal pharyngitis - Diagnosis and management,recvwKv7YZYHiCQZ6
Small bowel obstruction - Diagnosis and management,rec1il8gEp0eeWbPb
Sjögren's disease - Management,recIgJkhfJ9PiSZRz
Sepsis and septic shock - Investigation and management,recuU9ChmfVtmh9o0
Rheumatoid arthritis - Management,recQbwOba801fp1vi
Restless legs syndrome - Management,recs8Wc88qHHIHpCd
Raynaud's phenomenon - Investigation and management,recq6UXe5KsaKlebv
Pulmonary hypertension - Investigation,rec89lXQP6on4QwEP
Psoriatic arthritis - Management,rec1N0DkcHrvwaQ4M
Primary hyperaldosteronism - Diagnosis and management,rec0jnlxqFzTdcrBV
Priapism - Management,recEBRoWCX7B4J7pz
Polymyalgia rheumatica - Investigation and management,recgfHy2s3Nmy9kYb
Polycythemia - Evaluation and management,recDtpd1kHZ4dP0dG
Pleural effusion - Investigation,recxeeCmksEBIONFT
Pilonidal disease - Management,recFebipkIbP8bwmK
Pheochromocytoma or paraganglioma - Diagnosis and management,rec9lK3rxhebUBTv8
Acute respiratory distress syndrome - Management,recgEynGbvO8RZcLY
Acute cholecystitis - Diagnosis and management,recKn4ds9RSFkZVzp
Obstructive sleep apnea - Diagnosis and management,recvMN03VbZKwE69e
Non-variceal upper gastrointestinal bleeding - Management,reccNdIhv0q03tlD7
Multiple sclerosis - Counselling and follow-up,recxgycAvizwMyTfQ
Methadone prescribing - Management,recPXnXIcl63cJoQB
Male hypogonadism - Diagnosis and management,rec1b9eDcidiiZwA1
Malaria infection - Management,rechLxf0etwM07dlO
Lymphogranuloma venereum - Diagnosis and management,recglhN7QYzMye1LH
Iron deficiency anemia - Management,rec94FC1eftaHCEs2
Iron deficiency anemia - Investigation,recmD6OBj6H1KRy6r
Immune thrombocytopenia - Management (adults),recp2uHEQMveNiLP6
ICU delirium - Diagnosis and management,recxHZPIVsH9VGfb4
Pattern hair loss - Management,rec0Wtn4588p62pPz
Giant cell arteritis - Management,recV4eKPKJih8u9y1
Giant cell arteritis - Investigation,recnRBc7R98h7AqHP
